"Resource","Method","HttpMethod","UrlTemplate","InputType","ReturnType"
"ForeignTradeExpenseStatement","Describe","POST","/api/v2/ForeignTradeExpenseStatement/Describe","","String"
"ForeignTradeExpenseStatement","GetInternalById","GET","/api/v2/ForeignTradeExpenseStatement/GetInternalById","String","TResult`1"
"ForeignTradeExpenseStatement","PostInternal","POST","/api/v2/ForeignTradeExpenseStatement","ForeignTradeExpenseStatement","TResult`1"
"ForeignTradeExpenseStatement","PutInternal","PUT","/api/v2/ForeignTradeExpenseStatement","String, ForeignTradeExpenseStatement","TResult`1"
"ForeignTradeExpenseStatement","DeleteInternalById","DELETE","/api/v2/ForeignTradeExpenseStatement","String","TResult`1"
"ForeignTradeExpenseStatement","GetInternal","GET","/api/v2/ForeignTradeExpenseStatement","JTDisTicTip, SelectFilter","TSelectData`1"
"ForExs","GetInternal","GET","/api/v2/ForExs","SelectFilter","TSelectData`1"
"ForExs","GetInternalById","GET","/api/v2/ForExs/GetInternalById","Int32","TResult`1"
"ForExs","PostInternal","POST","/api/v2/ForExs","ForExs","TResult`1"
"ForExs","PutInternal","PUT","/api/v2/ForExs","Int32, ForExs","TResult`1"
"ForExs","DeleteInternalById","DELETE","/api/v2/ForExs","Int32","TResult`1"
"ForExs","RefreshExRatesInternal","POST","/api/v2/ForExs/RefreshExRatesInternal","String","TResult`1"
"GLAccounts","GetInternal","GET","/api/v2/GLAccounts","SelectFilter","TSelectData`1"
"GLAccounts","GetInternalById","GET","/api/v2/GLAccounts/GetInternalById","String","TResult`1"
"GLAccounts","PostInternal","POST","/api/v2/GLAccounts","GLAccounts","TResult`1"
"GLAccounts","PutInternal","PUT","/api/v2/GLAccounts","String, GLAccounts","TResult`1"
"GLAccounts","DeleteInternalById","DELETE","/api/v2/GLAccounts","String","TResult`1"
"GLSlips","Describe","POST","/api/v2/GLSlips/Describe","","String"
"GLSlips","GetInternal","GET","/api/v2/GLSlips","SelectFilter","TSelectData`1"
"GLSlips","GetInternalById","GET","/api/v2/GLSlips/GetInternalById","String","TResult`1"
"GLSlips","GetInternalByParam","GET","/api/v2/GLSlips/GetInternalByParam","GLSlipsParam","TResult`1"
